Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
"NETADV ULTIMATE 2010 VOL3 W/PS,SUB&SC WIN LICENSE                               ",2611203,4323230400,Data base management system software                                            ,2010,,,INFRAGISTICS                            ,1,No
NETADV WIN CLT W/PRTY SPT RENEWAL                                               ,2506096,4323151300,Office suite software                                                           ,2008,,,INFRAGISTICS                            ,1,No
NETADV WIN FORMS 2010 VOL3 W/SUB&SC                                             ,2614458,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADVANTAGE 60 DAY EARLY BIRD WIN RENEWAL                                      ,2336591,4323240300,Enterprise application integration software                                     ,N/A   ,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/ DOT NET 2010 VOL 3 W/PRIORITY SUBSCRIPTION & MAINT 1 YEAR       ,2601925,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/.NET+WPF W/PS 90 DAY EARLYBIRD RENEWAL                           ,2610207,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/.NET+WPF W/PS 90 DAY EARLYBIRD RENEWAL                           ,2480313,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/ASP.NET 2011 VOL1 PS WIN LICENSE                                 ,2645023,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/DOTNET 2011 VOL1 CORP LICENSE                                    ,2645339,4323230400,Data base management system software                                            ,2011,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/DOTNET 2011 VOL1 CORP PRIORITY SUPPORT                           ,2645341,4323230400,Data base management system software                                            ,2011,,,INFRAGISTICS                            ,1,No
NETADVANTAGE F/JQUERY 2011 VOL1 CORP PS                                         ,2638629,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADVANTAGE FOR .NET 2010 VOL 3 SINGLE USER LICENSE PLUS SUBSCRIPTION          ,2620571,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADVANTAGE FOR .NET 2010 VOL. 3 CORPORATE LICENSE                             ,2619404,4323240300,Enterprise application integration software                                     ,2010 V,,,INFRAGISTICS                            ,0,No
NETADVANTAGE FOR .NET 2011 VOL 1 UPG PRIORITY SUPPORT MAINT                     ,2651770,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
